,location,total_sqft,bath,price,bhk
341, Devarachikkanahalli,1250.0,2.0,40.0,2
2474, Devarachikkanahalli,1200.0,2.0,83.0,2
5030, Devarachikkanahalli,1170.0,2.0,40.0,2
5771, Devarachikkanahalli,1425.0,2.0,65.0,3
6591, Devarachikkanahalli,947.0,2.0,43.0,2
7536, Devarachikkanahalli,1130.0,2.0,36.0,2
7767, Devarachikkanahalli,1417.0,2.0,76.0,3
8268, Devarachikkanahalli,1230.0,2.0,58.0,2
8954, Devarachikkanahalli,1705.0,3.0,75.0,3
9894, Devarachikkanahalli,1116.0,2.0,47.0,2
10582, Devarachikkanahalli,991.0,2.0,40.0,2
210,1st Block Jayanagar,2850.0,4.0,428.0,4
848,1st Block Jayanagar,1630.0,3.0,194.0,3
2152,1st Block Jayanagar,1875.0,2.0,235.0,3
7138,1st Block Jayanagar,1200.0,2.0,130.0,3
7358,1st Block Jayanagar,1235.0,2.0,148.0,2
7383,1st Block Jayanagar,2750.0,4.0,413.0,4
10972,1st Block Jayanagar,2450.0,4.0,368.0,4
2106,1st Phase JP Nagar,1875.0,3.0,167.0,3
2292,1st Phase JP Nagar,1500.0,5.0,85.0,5
2914,1st Phase JP Nagar,2065.0,4.0,210.0,3
3669,1st Phase JP Nagar,2059.0,3.0,225.0,3
4605,1st Phase JP Nagar,1394.0,2.0,100.0,2
5497,1st Phase JP Nagar,1077.0,2.0,93.0,2
6025,1st Phase JP Nagar,1566.0,2.0,180.0,2
6366,1st Phase JP Nagar,840.0,2.0,50.0,1
6465,1st Phase JP Nagar,1590.0,3.0,131.0,3
7416,1st Phase JP Nagar,2180.0,3.0,210.0,3
8299,1st Phase JP Nagar,1180.0,2.0,88.5,2
8625,1st Phase JP Nagar,1200.0,2.0,86.0,2
10224,1st Phase JP Nagar,1394.0,2.0,85.0,2
10534,1st Phase JP Nagar,2077.0,3.0,175.0,3
10814,1st Phase JP Nagar,1205.0,2.0,85.0,2
12972,1st Phase JP Nagar,900.0,2.0,75.0,2
1368,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
